Player Name,Mat,Inns,NO,Runs,HS,Bat_Ave,BF,Bat_SR,100s,50s,4s,6s,Ct,St,Wkts,BBI,BBM,Bow_Ave,Econ,Bow_SR,4w,5w,10w
Rohit Sharma,257,252,29,6628,109*,29.72,5054,131.14,2,43,599,280,101,0,15,4/6,4/6,30.20,8.01,22.6,1,0,0
Ishan Kishan,105,99,6,2644,99,28.43,1946,135.86,0,16,255,119,51,5,-,-,-,-,-,-,-,-,-
Hardik Pandya,137,128,40,2525,91,28.69,1734,145.61,0,10,189,136,69,0,64,3/17,3/17,33.59,9.09,22.1,0,0,0
Jasprit Bumrah,133,30,23,68,16*,9.71,78,87.17,0,0,5,1,16,0,165,5/10,5/10,22.51,7.30,18.5,2,2,0
Tim David,38,35,12,659,46,28.65,387,170.28,0,0,38,46,22,0,-,-,-,-,-,-,-,-,-
Suryakumar Yadav,150,135,23,3594,103*,32.08,2473,145.32,2,24,385,130,68,0,0,-,-,-,8.00,-,0,0,0
Gerald Coetzee,10,5,1,14,8,3.50,22,63.63,0,0,0,1,2,0,13,4/34,4/34,26.23,10.17,15.4,1,0,0
Nuwan Thushara,7,-,-,-,-,-,-,-,-,-,-,-,1,0,8,3/28,3/28,32.12,9.88,19.5,0,0,0
Dewald Brevis,10,10,0,230,49,23.00,172,133.72,0,0,17,16,3,0,1,1/8,1/8,8.00,16.00,3.0,0,0,0
Tilak Varma,38,38,9,1156,84*,39.86,790,146.32,0,6,90,58,23,0,0,-,-,-,7.63,-,0,0,0
Mohammad Nabi,24,19,3,215,31,13.43,150,143.33,0,0,18,11,18,0,15,4/11,4/11,34.46,7.43,27.8,1,0,0
Jason Behrendorff,17,2,2,6,3*,-,9,66.66,0,0,0,0,2,0,19,3/23,3/23,29.05,9.04,19.2,0,0,0
Piyush Chawla,192,92,36,624,24*,11.14,563,110.83,0,0,56,20,43,0,192,4/17,4/17,26.60,7.96,20.0,2,0,0
Romario Shepherd,10,9,4,115,39*,23.00,63,182.53,0,0,7,10,0,0,4,2/42,2/42,64.25,12.23,31.5,0,0,0
Arjun Tendulkar,5,1,0,13,13,13.00,9,144.44,0,0,0,1,0,0,3,1/9,1/9,38.00,9.36,24.3,0,0,0
Shams Mulani,2,1,1,1,1*,-,1,100.00,0,0,0,0,0,0,0,-,-,-,11.40,-,0,0,0
Akash Madhwal,13,1,1,4,4*,-,5,80.00,0,0,0,0,1,0,19,5/5,5/5,22.31,9.70,13.7,1,1,0
Kumar Kartikeya,12,2,0,9,6,4.50,12,75.00,0,0,1,0,1,0,10,2/22,2/22,32.90,8.43,23.4,0,0,0
Vishnu Vinod,6,6,0,56,30,9.33,57,98.24,0,0,3,3,0,2,-,-,-,-,-,-,-,-,-
Naman Dhir,7,7,1,140,62*,23.33,79,177.21,0,1,12,10,3,0,0,-,-,-,11.78,-,0,0,0
Nehal Wadhera,20,16,1,350,64,23.33,250,140.00,0,2,32,18,6,0,0,-,-,-,6.50,-,0,0,0
Anshul Kamboj,3,1,1,2,2*,-,2,100.00,0,0,0,0,3,0,2,1/24,1/24,57.00,11.40,30.0,0,0,0
Shreyas Gopal,52,22,8,180,24,12.85,169,106.50,0,0,19,2,12,0,52,4/16,4/16,25.94,8.16,19.0,1,0,0
Rishabh Pant,111,110,17,3284,128*,35.31,2205,148.93,1,18,296,154,75,23,-,-,-,-,-,-,-,-,-
Axar Patel,150,113,36,1653,66,21.46,1263,130.87,0,3,107,79,72,0,123,4/21,4/21,30.55,7.27,25.1,1,0,0
Prithvi Shaw,79,79,0,1892,99,23.94,1283,147.46,0,14,238,61,18,0,-,-,-,-,-,-,-,-,-
Kumar Kushagra,4,3,0,3,2,1.00,7,42.85,0,0,0,0,1,0,-,-,-,-,-,-,-,-,-
Mitchell Marsh,42,36,2,665,89,19.55,521,127.63,0,3,48,38,10,0,37,4/25,4/25,21.48,8.51,15.1,2,0,0
Anrich Nortje,46,15,9,49,23*,8.16,49,100.00,0,0,6,0,10,0,60,3/33,3/33,26.23,8.96,17.5,0,0,0
David Warner,184,184,22,6565,126,40.52,4697,139.77,4,62,663,236,86,0,0,-,-,-,12.00,-,0,0,0
Mukesh Kumar,20,5,4,10,6*,10.00,18,55.55,0,0,0,0,6,0,24,3/14,3/14,28.91,10.43,16.6,0,0,0
Khaleel Ahmed,57,5,0,1,1,0.20,7,14.28,0,0,0,0,4,0,74,3/21,3/21,25.41,8.84,17.2,0,0,0
Jhye Richardson,4,3,0,17,15,5.66,26,65.38,0,0,2,0,1,0,3,2/41,2/41,52.33,10.46,30.0,0,0,0
Harry Brook,11,11,2,190,100*,21.11,154,123.37,1,0,23,4,3,0,-,-,-,-,-,-,-,-,-
Kuldeep Yadav,84,33,21,183,35*,15.25,216,84.72,0,0,16,3,20,0,87,4/14,4/14,27.44,8.20,20.0,4,0,0
Sumit Kumar,4,3,1,18,9*,9.00,24,75.00,0,0,2,1,1,0,0,-,-,-,11.40,-,0,0,0
Shai Hope,9,9,1,183,41,22.87,122,150.00,0,0,12,12,6,0,-,-,-,-,-,-,-,-,-
Lalit Yadav,27,21,5,305,48*,19.06,290,105.17,0,0,27,7,16,0,10,2/11,2/11,42.50,8.85,28.8,0,0,0
Ishant Sharma,110,28,22,57,10*,9.50,69,82.60,0,0,4,2,18,0,92,5/12,5/12,34.47,8.24,25.0,0,1,0
Lungi Ngidi,14,-,-,-,-,-,-,-,-,-,-,-,2,0,25,4/10,4/10,17.92,8.29,12.9,1,0,0
Pravin Dubey,4,2,1,23,16,23.00,33,69.69,0,0,2,0,1,0,1,1/19,1/19,91.00,8.27,66.0,0,0,0
Yash Dhull,4,3,0,16,13,5.33,23,69.56,0,0,1,0,2,0,-,-,-,-,-,-,-,-,-
Tristan Stubbs,18,17,6,405,71*,36.81,233,173.81,0,3,26,26,7,0,4,2/11,2/11,7.25,7.25,6.0,0,0,0
Rasikh Dar,11,6,1,40,10,8.00,40,100.00,0,0,5,0,2,0,9,3/34,3/34,37.66,10.43,21.6,0,0,0
Abishek Porel,18,16,2,360,65,25.71,236,152.54,0,2,37,15,6,0,-,-,-,-,-,-,-,-,-
Ricky Bhui,4,4,0,10,7,2.50,26,38.46,0,0,0,0,0,0,-,-,-,-,-,-,-,-,-
Cameron Green,29,28,11,707,100*,41.58,460,153.69,1,2,62,32,10,0,16,2/12,2/12,41.50,9.07,27.4,0,0,0
Virat Kohli,252,244,37,8004,113*,38.66,6065,131.97,8,55,705,272,114,0,4,2/25,2/25,92.00,8.79,62.7,0,0,0
Alzarri Joseph,22,7,6,27,15*,27.00,32,84.37,0,0,3,0,4,0,21,6/12,6/12,32.90,9.55,20.6,0,1,0
Glenn Maxwell,134,129,17,2771,95,24.74,1768,156.73,0,18,232,160,47,0,37,2/15,2/15,35.21,8.28,25.5,0,0,0
Mohammed Siraj,93,25,15,109,14*,10.90,119,91.59,0,0,10,4,29,0,93,4/21,4/21,30.34,8.64,21.0,2,0,0
Faf du Plessis,145,138,11,4571,96,35.99,3352,136.36,0,37,421,166,81,0,0,-,-,-,16.00,-,0,0,0
Dinesh Karthik,257,234,50,4842,97*,26.31,3577,135.36,0,22,466,161,145,37,-,-,-,-,-,-,-,-,-
Yash Dayal,28,1,0,0,0,0.00,1,0.00,0,0,0,0,5,0,28,3/20,3/20,32.85,9.56,20.6,0,0,0
Anuj Rawat,24,21,5,318,66,19.87,267,119.10,0,1,26,14,16,0,-,-,-,-,-,-,-,-,-
Will Jacks,8,8,1,230,100*,32.85,131,175.57,1,1,16,18,3,0,2,1/23,1/23,50.00,11.11,27.0,0,0,0
Lockie Ferguson,45,10,7,68,24*,22.66,46,147.82,0,0,6,2,9,0,46,4/28,4/28,31.00,8.95,20.7,1,0,0
Reece Topley,5,1,1,3,3*,-,6,50.00,0,0,0,0,1,0,5,2/27,2/27,36.40,10.70,20.4,0,0,0
Mayank Dagar,8,1,0,0,0,0.00,1,0.00,0,0,0,0,3,0,2,1/23,1/23,101.50,8.89,68.5,0,0,0
Tom Curran,13,10,5,127,54*,25.40,107,118.69,0,1,10,3,2,0,13,3/29,3/29,33.07,10.84,18.3,0,0,0
Mahipal Lomror,40,35,6,527,54*,18.17,373,141.28,0,1,33,30,10,0,1,1/22,1/22,127.00,8.46,90.0,0,0,0
Karn Sharma,84,40,14,351,39*,13.50,294,119.38,0,0,20,17,20,0,76,4/16,4/16,27.46,8.37,19.6,2,0,0
Suyash Prabhudessai,11,10,0,126,34,12.60,106,118.86,0,0,11,4,6,0,-,-,-,-,-,-,-,-,-
Vyshak Vijay Kumar,11,4,2,14,13*,7.00,12,116.66,0,0,0,1,4,0,13,3/20,3/20,30.38,10.25,17.7,0,0,0
Akash Deep,8,3,1,19,17,9.50,12,158.33,0,0,2,1,3,0,7,3/45,3/45,45.57,11.67,23.4,0,0,0
Rajat Patidar,27,24,1,799,112*,34.73,503,158.84,1,7,51,54,8,0,-,-,-,-,-,-,-,-,-
Himanshu Sharma,2,-,-,-,-,-,-,-,-,-,-,-,0,0,0,-,-,-,11.40,-,0,0,0
Swapnil Singh,14,9,4,51,15*,10.20,45,113.33,0,0,3,3,3,0,7,2/28,2/28,34.42,8.92,23.1,0,0,0
Ravindra Jadeja,240,184,76,2959,62*,27.39,2280,129.78,0,3,215,107,103,0,160,5/16,5/16,30.40,7.62,23.9,3,1,0
Daryl Mitchell,15,15,2,351,63,27.00,267,131.46,0,2,28,10,11,0,1,1/18,1/18,97.00,12.12,48.0,0,0,0
Deepak Chahar,81,13,6,80,39,11.42,59,135.59,0,0,2,6,13,0,77,4/13,4/13,28.84,7.98,21.6,2,0,0
MS Dhoni,264,229,95,5243,84*,39.12,3812,137.53,0,24,363,252,152,42,-,-,-,-,-,-,-,-,-
Sameer Rizvi,8,5,1,51,21,12.75,43,118.60,0,0,4,2,1,0,-,-,-,-,-,-,-,-,-
Ruturaj Gaikwad,66,65,8,2380,108*,41.75,1739,136.86,2,18,217,91,36,0,-,-,-,-,-,-,-,-,-
Moeen Ali,67,57,6,1162,93,22.78,821,141.53,0,6,95,67,22,0,35,4/26,4/26,25.51,7.06,21.6,1,0,0
Shivam Dube,65,61,11,1502,95*,30.04,1024,146.67,0,9,86,101,19,0,5,2/15,2/15,36.00,9.64,22.4,0,0,0
Shardul Thakur,95,37,12,307,68,12.28,221,138.91,0,1,27,13,32,0,94,4/36,4/36,30.52,9.22,19.8,1,0,0
Mustafizur Rahman,57,9,8,13,8*,13.00,23,56.52,0,0,0,1,7,0,61,4/29,4/29,28.88,8.14,21.2,1,0,0
Mitchell Santner,18,11,5,70,22,11.66,71,98.59,0,0,4,3,6,0,15,2/13,2/13,28.13,6.91,24.4,0,0,0
Rachin Ravindra,10,10,0,222,61,22.20,138,160.86,0,1,22,12,8,0,0,-,-,-,3.50,-,0,0,0
Rajvardhan Hangargekar,2,-,-,-,-,-,-,-,-,-,-,-,0,0,3,3/36,3/36,20.00,10.00,12.0,0,0,0
Prashant Solanki,2,-,-,-,-,-,-,-,-,-,-,-,0,0,2,2/20,2/20,19.00,6.33,18.0,0,0,0
Devon Conway,23,22,3,924,92*,48.63,654,141.28,0,9,99,30,8,0,-,-,-,-,-,-,-,-,-
Maheesh Theekshana,27,2,1,7,7*,7.00,7,100.00,0,0,0,1,4,0,25,4/33,4/33,31.88,7.66,24.9,1,0,0
Ajinkya Rahane,185,171,17,4642,105*,30.14,3761,123.42,2,30,478,103,70,0,1,1/5,1/5,5.00,5.00,6.0,0,0,0
Matheesha Pathirana,20,-,-,-,-,-,-,-,-,-,-,-,6,0,34,4/28,4/28,17.41,7.87,13.2,1,0,0
Simarjeet Singh,10,3,2,7,3*,7.00,8,87.50,0,0,0,0,3,0,9,3/26,3/26,28.77,8.63,20.0,0,0,0
Mukesh Choudhary,14,2,1,6,4,6.00,6,100.00,0,0,1,0,3,0,16,4/46,4/46,28.18,9.69,17.4,1,0,0
Tushar Deshpande,36,4,3,21,20*,21.00,14,150.00,0,0,2,1,6,0,42,4/27,4/27,29.59,9.64,18.4,1,0,0
Rashid Khan,121,60,23,545,79*,14.72,337,161.72,0,1,39,38,43,0,149,4/24,4/24,21.82,6.82,19.1,2,0,0
Spencer Johnson,5,3,3,6,5*,-,7,85.71,0,0,1,0,2,0,4,2/25,2/25,37.75,9.43,24.0,0,0,0
Rahul Tewatia,93,65,25,1013,53,25.32,752,134.70,0,1,84,47,38,0,32,3/18,3/18,34.71,7.90,26.3,0,0,0
Shubman Gill,103,100,15,3216,129,37.83,2370,135.69,4,20,310,95,37,0,-,-,-,-,-,-,-,-,-
Shahrukh Khan,40,38,10,553,58,19.75,391,141.43,0,1,35,37,20,0,0,-,-,-,7.50,-,0,0,0
Mohammed Shami,110,25,12,74,21,5.69,79,93.67,0,0,6,2,19,0,127,4/11,4/11,26.86,8.43,19.1,2,0,0
Umesh Yadav,148,52,31,208,24*,9.90,201,103.48,0,0,16,9,38,0,144,4/23,4/23,29.97,8.49,21.1,3,0,0
Joshua Little,11,-,-,-,-,-,-,-,-,-,-,-,5,0,11,4/45,4/45,30.81,8.92,20.7,1,0,0
Sai Kishore,10,2,1,13,13,13.00,6,216.66,0,0,0,2,5,0,13,4/33,4/33,19.84,8.32,14.3,1,0,0
David Miller,130,124,43,2924,101*,36.09,2100,139.23,1,13,207,134,75,0,-,-,-,-,-,-,-,-,-
Abhinav Manohar,19,15,1,231,43,16.50,174,132.75,0,0,21,10,9,0,-,-,-,-,-,-,-,-,-
Matthew Wade,15,14,0,183,35,13.07,177,103.38,0,0,23,2,8,1,-,-,-,-,-,-,-,-,-
Kane Williamson,79,77,17,2128,89,35.46,1694,125.61,0,18,185,64,40,0,0,-,-,-,10.33,-,0,0,0
Wriddhiman Saha,170,145,24,2934,115*,24.24,2300,127.56,1,13,296,87,92,26,-,-,-,-,-,-,-,-,-
Jayant Yadav,20,5,1,40,23,10.00,36,111.11,0,0,2,1,7,0,8,1/8,1/8,55.62,6.84,48.7,0,0,0
Vijay Shankar,72,60,16,1115,63*,25.34,859,129.80,0,6,80,45,29,0,9,2/19,2/19,38.22,8.67,26.4,0,0,0
Kartik Tyagi,20,7,3,13,7,3.25,16,81.25,0,0,1,0,3,0,15,2/29,2/29,47.53,10.13,28.1,0,0,0
Mohit Sharma,112,31,14,124,21*,7.29,133,93.23,0,0,8,4,28,0,132,5/10,5/10,24.66,8.67,17.0,3,1,0
Azmatullah Omarzai,7,4,0,42,17,10.50,33,127.27,0,0,2,2,0,0,4,2/27,2/27,46.50,8.85,31.5,0,0,0
Noor Ahmad,23,7,3,13,7*,3.25,18,72.22,0,0,2,0,7,0,24,3/37,3/37,27.45,8.03,20.5,0,0,0
Darshan Nalkande,6,2,0,12,12,6.00,12,100.00,0,0,0,1,2,0,6,2/21,2/21,24.66,10.57,14.0,0,0,0
Manav Suthar,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,0,0,-,-,-,13.00,-,0,0,0
