Serial Number,player_name,Type ,Price (â‚¹ Cr.) ,Overseas Player
1,Rohit Sharma,Batter,16.0,No
2,Ishan Kishan,Wicket-Keeper,15.25,No
3,Hardik Pandya,All-Rounder,15.0,No
4,Jasprit Bumrah,Bowler,12.0,No
5,Tim David,Batter,8.25,Yes
6,Suryakumar Yadav,Batter,8.0,No
7,Gerald Coetzee,All-Rounder,5.0,Yes
8,Nuwan Thushara,Bowler,4.8,Yes
9,Dilshan Madushanka,Bowler,4.6,Yes
10,Dewald Brevis,All-Rounder,3.0,Yes
11,Tilak Varma,Batter,1.7,No
12,Mohammad Nabi,All-Rounder,1.5,Yes
13,Jason Behrendorff,Bowler,0.75,Yes
14,Piyush Chawla,Bowler,0.5,No
15,Romario Shepherd,All-Rounder,0.5,Yes
16,Arjun Tendulkar,Bowler,0.3,No
17,Shams Mulani,All-Rounder,0.2,No
18,Akash Madhwal,Bowler,0.2,No
19,Kumar Kartikeya,Bowler,0.2,No
20,Vishnu Vinod,Wicket-Keeper,0.2,No
21,Shivalik Sharma,All-Rounder,0.2,No
22,Naman Dhir,All-Rounder,0.2,No
23,Nehal Wadhera,All-Rounder,0.2,No
24,Anshul Kamboj,All-Rounder,0.2,No
25,Shreyas Gopal,Bowler,0.2,No
26,Rishabh Pant,Wicket-Keeper,16.0,No
27,Axar Patel,All-Rounder,12.0,No
28,Prithvi Shaw,Batter,8.0,No
29,Kumar Kushagra,Wicket-Keeper,7.2,No
30,Mitchell Marsh,All-Rounder,6.5,Yes
31,Anrich Nortje,Bowler,6.5,Yes
32,David Warner,Batter,6.25,Yes
33,Mukesh Kumar,Bowler,5.5,No
34,Khaleel Ahmed,Bowler,5.25,No
35,Jhye Richardson,Bowler,5.0,Yes
36,Harry Brook,Batter,4.0,Yes
37,Kuldeep Yadav,Bowler,2.0,No
38,Sumit Kumar,All-Rounder,1.0,No
39,Shai Hope,Wicket-Keeper,0.75,Yes
40,Lalit Yadav,All-Rounder,0.65,No
41,Ishant Sharma,Bowler,0.5,No
42,Lungi Ngidi,Bowler,0.5,Yes
43,Pravin Dubey,Bowler,0.5,No
44,Yash Dhull,Batter,0.5,No
45,Tristan Stubbs,Wicket-Keeper,0.5,Yes
46,Rasikh Dar,Bowler,0.2,No
47,Abishek Porel,Wicket-Keeper,0.2,No
48,Vicky Ostwal,Bowler,0.2,No
49,Ricky Bhui,Wicket-Keeper,0.2,No
50,Swastik Chikara,Batter,0.2,No
51,Cameron Green,All-Rounder,17.5,Yes
52,Virat Kohli,Batter,15.0,No
53,Alzarri Joseph,Bowler,11.5,Yes
54,Glenn Maxwell,All-Rounder,11.0,Yes
55,Mohammed Siraj,Bowler,7.0,No
56,Faf du Plessis,Batter,7.0,Yes
57,Dinesh Karthik,Wicket-Keeper,5.5,No
58,Yash Dayal,Bowler,5.0,No
59,Anuj Rawat,Wicket-Keeper,3.4,No
60,Will Jacks,Batter,3.2,Yes
61,Lockie Ferguson,Bowler,2.0,Yes
62,Reece Topley,Bowler,1.9,Yes
63,Mayank Dagar,All-Rounder,1.8,No
64,Tom Curran,All-Rounder,1.5,Yes
65,Mahipal Lomror,All-Rounder,0.95,No
66,Rajan Kumar,Bowler,0.7,No
67,Karn Sharma,Bowler,0.5,No
68,Suyash Prabhudessai,Batter,0.3,No
69,Vyshak Vijay Kumar,Bowler,0.2,No
70,Akash Deep,Bowler,0.2,No
71,Manoj Bhandage,All-Rounder,0.2,No
72,Rajat Patidar,Batter,0.2,No
73,Himanshu Sharma,Bowler,0.2,No
74,Swapnil Singh,All-Rounder,0.2,No
75,Ravindra Jadeja,All-Rounder,16.0,No
76,Daryl Mitchell,All-Rounder,14.0,Yes
77,Deepak Chahar,Bowler,14.0,No
78,MS Dhoni,Wicket-Keeper,12.0,No
79,Sameer Rizvi,Batter,8.4,No
80,Ruturaj Gaikwad,Batter,8.0,No
81,Moeen Ali,All-Rounder,6.0,Yes
82,Shivam Dube,All-Rounder,4.0,No
83,Shardul Thakur,All-Rounder,4.0,No
84,Mustafizur Rahman,Bowler,2.0,Yes
85,Mitchell Santner,All-Rounder,1.9,Yes
86,Rachin Ravindra,All-Rounder,1.8,Yes
87,Rajvardhan Hangargekar,Bowler,1.5,No
88,Prashant Solanki,Bowler,1.2,No
89,Devon Conway,Wicket-Keeper,1.0,Yes
90,Maheesh Theekshana,Bowler,0.7,Yes
91,Nishant Sindhu,All-Rounder,0.6,No
92,Ajinkya Rahane,Batter,0.5,No
93,Matheesha Pathirana,Bowler,0.2,Yes
94,Shaik Rasheed,Batter,0.2,No
95,Ajay Mandal,All-Rounder,0.2,No
96,Simarjeet Singh,Bowler,0.2,No
97,Mukesh Choudhary,Bowler,0.2,No
98,Tushar Deshpande,Bowler,0.2,No
99,Aravelly Rao,Wicket-Keeper,0.2,No
100,Rashid Khan,Bowler,15.0,Yes
101,Spencer Johnson,Bowler,10.0,Yes
102,Rahul Tewatia,All-Rounder,9.0,No
103,Shubman Gill,Batter,8.0,No
104,Shahrukh Khan,All-Rounder,7.4,No
105,Mohammed Shami,Bowler,6.25,No
106,Umesh Yadav,Bowler,5.8,No
107,Joshua Little,Bowler,4.4,Yes
108,Robin Minz,Wicket-Keeper,3.6,No
109,Sai Kishore,Bowler,3.0,No
110,David Miller,Batter,3.0,Yes
111,Abhinav Manohar,Batter,2.6,No
112,Matthew Wade,Wicket-Keeper,2.4,Yes
113,Sushant Mishra,Bowler,2.2,No
114,Kane Williamson,Batter,2.0,Yes
115,Wriddhiman Saha,Wicket-Keeper,1.9,No
116,Jayant Yadav,Bowler,1.7,No
117,Vijay Shankar,All-Rounder,1.4,No
118,Kartik Tyagi,Bowler,0.6,No
119,Mohit Sharma,Bowler,0.5,No
120,Azmatullah Omarzai,All-Rounder,0.5,Yes
121,Noor Ahmad,Bowler,0.3,Yes
122,Darshan Nalkande,Bowler,0.2,No
123,Manav Suthar,Bowler,0.2,No
124,Sai Sudharsan,Batter,0.2,No
125,Mitchell Starc,Bowler,24.75,Yes
126,Andre Russell,All-Rounder,16.0,Yes
127,Shreyas Iyer,Batter,12.25,No
128,Varun Chakaravarthy,Bowler,12.0,No
129,Nitish Rana,Batter,8.0,No
130,Venkatesh Iyer,All-Rounder,8.0,No
131,Sunil Narine,All-Rounder,6.0,Yes
132,Jason Roy,Batter,2.8,Yes
133,Mujeeb Ur Rahman,Bowler,2.0,Yes
134,Sherfane Rutherford,Batter,1.5,Yes
135,Gus Atkinson,Bowler,1.0,Yes
136,Vaibhav Arora,Bowler,0.6,No
137,Rinku Singh,Batter,0.55,No
138,Manish Pandey,Batter,0.5,No
139,KS Bharat,Wicket-Keeper,0.5,No
140,Chetan Sakariya,Bowler,0.5,No
141,Rahmanullah Gurbaz,Wicket-Keeper,0.5,Yes
142,Angkrish Raghuvanshi,Batter,0.2,No
143,Harshit Rana,Bowler,0.2,No
144,Ramandeep Singh,All-Rounder,0.2,No
145,Anukul Roy,All-Rounder,0.2,No
146,Sakib Hussain,Bowler,0.2,No
147,Suyash Sharma,Bowler,0.2,No
148,KL Rahul,Batter,17.0,No
149,Nicholas Pooran,Wicket-Keeper,16.0,Yes
150,Marcus Stoinis,All-Rounder,10.0,Yes
151,Krunal Pandya,All-Rounder,8.25,No
152,Devdutt Padikkal,Batter,7.75,No
153,Mark Wood,Bowler,7.5,Yes
154,Quinton de Kock,Wicket-Keeper,6.75,Yes
155,Shivam Mavi,Bowler,6.4,No
156,Deepak Hooda,All-Rounder,5.75,No
157,Ravi Bishnoi,Bowler,4.0,No
158,Manimaran Siddharth,Bowler,2.4,No
159,David Willey,All-Rounder,2.0,Yes
160,Ashton Turner,Batter,1.0,Yes
161,Krishnappa Gowtham,All-Rounder,0.9,No
162,Amit Mishra,Bowler,0.5,No
163,Kyle Mayers,All-Rounder,0.5,Yes
164,Naveen-ul-Haq,Bowler,0.5,Yes
165,Yash Thakur,Bowler,0.45,No
166,Mohsin Khan,Bowler,0.2,No
167,Yudhvir Singh,All-Rounder,0.2,No
168,Ayush Badoni,Batter,0.2,No
169,Mayank Yadav,Bowler,0.2,No
170,Arshad Khan,All-Rounder,0.2,No
171,Prerak Mankad,All-Rounder,0.2,No
172,Arshin Kulkarni,All-Rounder,0.2,No
173,Sam Curran,All-Rounder,18.5,Yes
174,Harshal Patel,All-Rounder,11.75,No
175,Liam Livingstone,All-Rounder,11.5,Yes
176,Kagiso Rabada,Bowler,9.25,Yes
177,Shikhar Dhawan,Batter,8.25,No
178,Rilee Rossouw,Batter,8.0,Yes
179,Jonny Bairstow,Wicket-Keeper,6.75,Yes
180,Rahul Chahar,Bowler,5.25,No
181,Chris Woakes,All-Rounder,4.2,Yes
182,Arshdeep Singh,Bowler,4.0,No
183,Harpreet Brar,Bowler,3.8,No
184,Nathan Ellis,Bowler,0.75,Yes
185,Prabhsimran Singh,Wicket-Keeper,0.6,No
186,Rishi Dhawan,All-Rounder,0.55,No
187,Sikandar Raza,All-Rounder,0.5,Yes
188,Harpreet Singh,Batter,0.4,No
189,Atharva Taide,Batter,0.2,No
190,Ashutosh Sharma,All-Rounder,0.2,No
191,Jitesh Sharma,Wicket-Keeper,0.2,No
192,Shashank Singh,All-Rounder,0.2,No
193,Prince Choudhary,Bowler,0.2,No
194,Shivam Singh,Batter,0.2,No
195,Vidwath Kaverappa,Bowler,0.2,No
196,Vishwapratap Singh,All-Rounder,0.2,No
197,Tanay Thyagarajan,All-Rounder,0.2,No
198,Sanju Samson,Wicket-Keeper,14.0,No
199,Jos Buttler,Wicket-Keeper,10.0,Yes
200,Prasidh Krishna,Bowler,10.0,No
201,Avesh Khan,Bowler,10.0,No
202,Shimron Hetmyer,Batter,8.5,Yes
203,Trent Boult,Bowler,8.0,Yes
204,Rovman Powell,Batter,7.4,Yes
205,Yuzvendra Chahal,Bowler,6.5,No
206,Shubham Dubey,Batter,5.8,No
207,Ravichandran Ashwin,All-Rounder,5.0,No
208,Yashasvi Jaiswal,Batter,4.0,No
209,Riyan Parag,All-Rounder,3.8,No
210,Navdeep Saini,Bowler,2.6,No
211,Adam Zampa,Bowler,1.5,Yes
212,Sandeep Sharma,Bowler,0.5,No
213,Donovan Ferreira,Wicket-Keeper,0.5,Yes
214,Nandre Burger,Bowler,0.5,Yes
215,Tom Kohler-Cadmore,Wicket-Keeper,0.4,Yes
216,Kuldeep Sen,Bowler,0.2,No
217,Dhruv Jurel,Wicket-Keeper,0.2,No
218,Abid Mushtaq,All-Rounder,0.2,No
219,Kunal Singh Rathore,Wicket-Keeper,0.2,No
220,Pat Cummins,All-Rounder,20.5,Yes
221,Washington Sundar,All-Rounder,8.75,No
222,Rahul Tripathi,Batter,8.5,No
223,Mayank Agarwal,Batter,8.25,No
224,Travis Head,Batter,6.8,Yes
225,Abhishek Sharma,All-Rounder,6.5,No
226,Heinrich Klaasen,Wicket-Keeper,5.25,Yes
227,Marco Jansen,All-Rounder,4.2,Yes
228,Bhuvneshwar Kumar,Bowler,4.2,No
229,Abdul Samad,Batter,4.0,No
230,Umran Malik,Bowler,4.0,No
231,T Natarajan,Bowler,4.0,No
232,Aiden Markram,All-Rounder,2.6,Yes
233,Shahbaz Ahmed,All-Rounder,2.4,No
234,Jaydev Unadkat,Bowler,1.6,No
235,Wanindu Hasaranga,All-Rounder,1.5,Yes
236,Glenn Phillips,All-Rounder,1.5,Yes
237,Mayank Markande,Bowler,0.5,No
238,Fazalhaq Farooqi,Bowler,0.5,Yes
239,Upendra Yadav,Wicket-Keeper,0.25,No
240,Jhatavedh Subramanyan,Bowler,0.2,No
241,Akash Singh,Bowler,0.2,No
242,Nitish Kumar Reddy,Batter,0.2,No
243,Sanvir Singh,All-Rounder,0.2,No
244,Anmolpreet Singh,Batter,0.2,No
